"unit","qudtUri","TotalUses","pseudounit","qudtUnit"
"mile","http://qudt.org/vocab/unit/MI_US",69,"mile","MI_US"
"metersbelowlandsurface",NA,69,"meterbelowlandsurface","M-belowlandsurface"
"numberperthousandmeterscubed",NA,68,"numberperthousandmetercubed","NUM-PER-thousand-M3"
"micromolepergramperhour","http://qudt.org/vocab/unit/MicroMOL-PER-GM-HR",68,"micromolepergramperhour","MicroMOL-PER-GM-HR"
"cation number based on 22 oxygen equivalents per formula unit",NA,68,"cationnumberbasedon22oxygenequivalentsperformulaunit","cation-NUM-basedon22oxygenequivalents-PER-formulaunit"
"milligrampermetersquaredperday","http://qudt.org/vocab/unit/MilliGM-PER-M2-DAY",67,"milligrampermeterquaredperday","MilliGM-PER-M2-DAY"
"microeinsteinspersquaremeter","http://qudt.org/vocab/unit/MicroMOL-PER-M2",67,"microeinsteinspersquaremeter","MicroMOL-PER-M2"
"g","http://qudt.org/vocab/unit/GM",67,"gram","GM"
"seconds","http://qudt.org/vocab/unit/SEC",65,"second","SEC"
"n","http://qudt.org/vocab/unit/NUM",65,"n","NUM"
"centimeterspersecond","http://qudt.org/vocab/unit/CentiM-PER-SEC",65,"centimeterpersecond","CentiM-PER-SEC"
"nanogramsperliter","http://qudt.org/vocab/unit/NanoGM-PER-L",64,"nanogramperliter","NanoGM-PER-L"
"millimoles/liter","http://qudt.org/vocab/unit/MilliMOL-PER-L",64,"millimoleperliter","MilliMOL-PER-L"
"milligramperlitter",NA,64,"milligramperlitter","MilliGM-PER-litter"
"gramspermetersquared","http://qudt.org/vocab/unit/GM-PER-M2",64,"grampermeterquared","GM-PER-M2"
"sand",NA,63,"sand","sand"
"per meter, describes optical properties",NA,62,"permeter,describesopticalproperties","PER-M-,describesopticalpro-ties"
"decimaldegree","http://qudt.org/vocab/unit/DEG",62,"decimaldegree","DEG"
"conductivity unit",NA,62,"conductivityunit","conductivityunit"
"celsius","http://qudt.org/vocab/unit/DEG_C",62,"celsius","DEG_C"
"bar","http://qudt.org/vocab/unit/BAR",62,"bar","BAR"
"square meters","http://qudt.org/vocab/unit/M2",61,"squaremeter","M2"
"n/a",NA,61,"npera","n-PER-a"
"millimolepermole","http://qudt.org/vocab/unit/MilliMOL-PER-MOL",61,"millimolepermole","MilliMOL-PER-MOL"
"millimolepermetersquaredperday","http://qudt.org/vocab/unit/MilliMOL-PER-M2-DAY",61,"millimolepermeterquaredperday","MilliMOL-PER-M2-DAY"
"millimetersperyear","http://qudt.org/vocab/unit/MilliM-PER-YR",61,"millimeterperyear","MilliM-PER-YR"
"milligrams / liter","http://qudt.org/vocab/unit/MilliGM-PER-L",61,"milligramperliter","MilliGM-PER-L"
"milligrampergram","http://qudt.org/vocab/unit/MilliGM-PER-GM",61,"milligrampergram","MilliGM-PER-GM"
"micromolespersquaremeterpersecond","http://qudt.org/vocab/unit/MicroMOL-PER-M2-SEC",61,"micromolepersquaremeterpersecond","MicroMOL-PER-M2-SEC"
"decimal degrees latitude or longitude",NA,61,"decimaldegreelatitudeorlongitude","DEG-latitudeorlongitude"
"centimoleperkilogram","http://qudt.org/vocab/unit/CentiMOL-PER-KiloGM",61,"centimoleperkilogram","CentiMOL-PER-KiloGM"
"siemens per meter (electrolytic conductivity of a solution)","http://qudt.org/vocab/unit/S-PER-M",60,"siemenspermeter(electrolyticconductivityofasolution)","S-PER-M"
"pa","http://qudt.org/vocab/unit/PA",60,"pa","PA"
"milligramspersquaremeter","http://qudt.org/vocab/unit/MilliGM-PER-M2",60,"milligrampersquaremeter","MilliGM-PER-M2"
"micromoleperliter","http://qudt.org/vocab/unit/MicroMOL-PER-L",60,"micromoleperliter","MicroMOL-PER-L"
"cm/s","http://qudt.org/vocab/unit/CentiM-PER-SEC",60,"centimeterpersecond","CentiM-PER-SEC"
"1e3dollars",NA,60,"1e3dollars","1e3-USDollar"
"relativefluorescenceunit",NA,59,"relativefluorescenceunit","relativefluorescenceunit"
"millimolepermetersquared","http://qudt.org/vocab/unit/MilliMOL-PER-M2",59,"millimolepermeterquared","MilliMOL-PER-M2"
"meterssquaredperhectare","http://qudt.org/vocab/unit/M2-PER-HA",59,"metersquaredperhectare","M2-PER-HA"
"metersquaredpermetersquared","http://qudt.org/vocab/unit/M2-PER-M2",59,"meterquaredpermeterquared","M2-PER-M2"
"""hr""or""normalizedconcentration""",NA,59,"""hr""or""normalizedconcentration""","""hr""or""normalizedconcentration"""
"y","http://qudt.org/vocab/unit/YR",58,"year","YR"
"weight percent (wt%)",NA,58,"weightpercent(wt%)","weight-PERCENT"
"ntu","http://qudt.org/vocab/unit/NTU",58,"ntu","NTU"
"nanomolepergramperhour",NA,58,"nanomolepergramperhour","NanoMOL-e-PER-GM-HR"
"milligrampermetercubed","http://qudt.org/vocab/unit/MilliGM-PER-M3",58,"milligrampermetercubed","MilliGM-PER-M3"
"dimmessionless","http://qudt.org/vocab/unit/UNITLESS",58,"dimmessionless","UNITLESS"
"nanomolespergram",NA,57,"nanomolepergram","NanoMOL-e-PER-GM"
"micrograms per kilogram (Ã®Â¼g/kg)","http://qudt.org/vocab/unit/MicroGM-PER-KiloGM",57,"microgramperkilogram(Ã®Â¼gperkg)","MicroGM-PER-KiloGM"
"metercubed","http://qudt.org/vocab/unit/M3",57,"metercubed","M3"
"degrees celsius","http://qudt.org/vocab/unit/DEG_C",57,"degreecelsius","DEG_C"
"decimal degree","http://qudt.org/vocab/unit/DEG",57,"decimaldegree","DEG"
"standardizedunits",NA,56,"standardizedunits","standardizedunits"
"oxide weight percent",NA,56,"oxideweightpercent","oxideweight-PERCENT"
"squaremillimeters","http://qudt.org/vocab/unit/MilliM2",55,"squaremillimeter","MilliM2"
"ph","http://qudt.org/vocab/unit/PH",55,"ph","PH"
"partsperbillion","http://qudt.org/vocab/unit/PPB",55,"partperbillion","PPB"
"meters per year","http://qudt.org/vocab/unit/M-PER-YR",55,"meterperyear","M-PER-YR"
"metercubedperhectare","http://qudt.org/vocab/unit/M3-PER-HA",55,"metercubedperhectare","M3-PER-HA"
"literspersecond","http://qudt.org/vocab/unit/L-PER-SEC",55,"literpersecond","L-PER-SEC"
"practicalsalinityunit","http://qudt.org/vocab/unit/PSU",54,"practicalsalinityunit","PSU"
"millimolespersquaremeter","http://qudt.org/vocab/unit/MilliMOL-PER-M2",54,"millimolepersquaremeter","MilliMOL-PER-M2"
"m/s","http://qudt.org/vocab/unit/M-PER-SEC",54,"mpersecond","M-PER-SEC"
"decimal degrees","http://qudt.org/vocab/unit/DEG",54,"decimaldegree","DEG"
"cubicmeterperhectare","http://qudt.org/vocab/unit/M3-PER-HA",54,"cubicmeterperhectare","M3-PER-HA"
"commonly used for concentration of some chemical constituents of natural water bodies, e.g., nutrients. it has the same magnitude as micromolar, but micromolar can only be used for a dissolved constituent",NA,54,"commonlyusedforconcentrationofsomechemicalconstituentsofnaturalwaterbodies,e.g.,nutrients.ithasthesamemagnitudeasmicromolar,butmicromolarcanonlybeusedforadissolvedconstituent","commonlyusedforconcentrationofsomechemicalconstituentsofnaturalwaterbodies,e-NA-g-NA-,nutrients-NA-ithasthesamemagnitudeas-MicroMOL-PER-L-,but-MicroMOL-L-canonlybeusedforadissolvedconstituent"
"numberpercentimetersquaredperyear",NA,53,"numberpercentimeterquaredperyear","NUM-PER-CentiM2-YR"
"kilogrampermetersquared","http://qudt.org/vocab/unit/KiloGM-PER-M2",53,"kilogrampermeterquared","KiloGM-PER-M2"
"gramspersquaremeterperday","http://qudt.org/vocab/unit/GM-PER-M2-DAY",53,"grampersquaremeterperday","GM-PER-M2-DAY"
"w/m2","http://qudt.org/vocab/unit/W-PER-M2",52,"wpermetersquared","W-PER-M2"
"metersquaredpersecond","http://qudt.org/vocab/unit/M2-PER-SEC",52,"meterquaredpersecond","M2-PER-SEC"
"kpa","http://qudt.org/vocab/unit/KiloPA",51,"kpa","KiloPA"
"gravel",NA,51,"gravel","gravel"
"umolpersecondspermetersquared",NA,50,"umolpersecondpermeterquared","MicroMOL-PER-SEC-M2"
"one day excluding leap seconds, 86400 seconds",NA,50,"onedayexcludingleapsecond,86400second","one-DAY-excludingleap-SEC-,86400-SEC"
"numstems","http://qudt.org/vocab/unit/NUM",50,"numstems","NUM"
"microgramperliterperday",NA,50,"microgramperliterperday","MicroGM-PER-L-DAY"
"microeinsteinspersquaremeterpersecond","http://qudt.org/vocab/unit/MicroMOL-PER-M2-SEC",50,"microeinsteinspersquaremeterpersecond","MicroMOL-PER-M2-SEC"
"megajoulepermetersquaredperday",NA,50,"megajoulepermeterquaredperday","MegaJ-PER-M2-DAY"
"kilogrampermetercubed","http://qudt.org/vocab/unit/KiloGM-PER-M3",50,"kilogrampermetercubed","KiloGM-PER-M3"
"henry","http://qudt.org/vocab/unit/H",50,"henry","H"
"gramspergram","http://qudt.org/vocab/unit/GM-PER-GM",50,"grampergram","GM-PER-GM"
"decimaldegrees","http://qudt.org/vocab/unit/DEG",50,"decimaldegree","DEG"
"parts per million (ppm)","http://qudt.org/vocab/unit/PPM",49,"partpermillion(ppm)","PPM"
"partperthousand","http://qudt.org/vocab/unit/PPTH",49,"partperthousand","PPTH"
"micromolespersquaremeterpersecond","http://qudt.org/vocab/unit/MicroMOL-PER-M2-SEC",49,"micromolepersquaremeterpersecond","MicroMOL-PER-M2-SEC"
"micromolespergramperhour","http://qudt.org/vocab/unit/MicroMOL-PER-GM-HR",49,"micromolepergramperhour","MicroMOL-PER-GM-HR"
"gramsperkilogram","http://qudt.org/vocab/unit/GM-PER-KiloGM",49,"gramperkilogram","GM-PER-KiloGM"
"decibel","http://qudt.org/vocab/unit/DeciB",49,"decibel","DeciB"
"centimetersquaredperfourhundredthmetersquared",NA,49,"centimeterquaredperfourhundredthmeterquared","CentiM2-PER-fourhundredth-M2"
"c",NA,49,"c","c"
"wattpersquaremeter","http://qudt.org/vocab/unit/W-PER-M2",48,"wattpersquaremeter","W-PER-M2"
"molarity",NA,48,"molarity","molarity"
"micromolpersecondpermeterssquared",NA,48,"micromolpersecondpermetersquared","micromol-PER-SEC-M2"
"microgramsperkilogram","http://qudt.org/vocab/unit/MicroGM-PER-KiloGM",48,"microgramperkilogram","MicroGM-PER-KiloGM"
"disintegrationsperminute",NA,48,"disintegrationsperminute","disintegrations-PER-MIN"
"degreesfromnorth",NA,48,"degreefromnorth","DEG-fromnorth"
"year (yyyy)","http://qudt.org/vocab/unit/YR",47,"year(yyyy)","YR"
"percentsaturation",NA,47,"percentaturation","PERCENT-aturation"
"millisecond","http://qudt.org/vocab/unit/MilliSEC",47,"millisecond","MilliSEC"
"micrograms per liter (Ã¢Âµg/l)","http://qudt.org/vocab/unit/MicroGM-PER-L",47,"microgramperliter(Ã¢Âµgperl)","MicroGM-PER-L"
"kilowattpermetersquared",NA,47,"kilowattpermeterquared","KiloW-PER-M2"
"kilometersperhour","http://qudt.org/vocab/unit/KiloM-PER-HR",47,"kilometerperhour","KiloM-PER-HR"
"gravelly sediment",NA,47,"gravellysediment","gravellysediment"
"decisiemenspermeter","http://qudt.org/vocab/unit/DeciS-PER-M",47,"decisiemenspermeter","DeciS-PER-M"
"decibar = 0.1 bar",NA,47,"decibar=0.1bar","DeciBAR-=0-NA-1-BAR"
"meters","http://qudt.org/vocab/unit/M",46,"meter","M"
"knot","http://qudt.org/vocab/unit/KN",46,"knot","KN"
"kilogramsperhectareperyear",NA,46,"kilogramperhectareperyear","KiloGM-PER-HA-YR"
"gramsperhectograms",NA,46,"gramperhectogram","GM-PER-HectoGM"
"centimeterspersecond","http://qudt.org/vocab/unit/CentiM-PER-SEC",46,"centimeterpersecond","CentiM-PER-SEC"
"areal percentage",NA,46,"arealpercent","areal-PERCENT"
"6",NA,46,"6","6"
"relativefluorescenceunits",NA,45,"relativefluorescenceunits","relativefluorescenceunits"
"one day excluding leap seconds; 86400 seconds",NA,45,"onedayexcludingleapsecond;86400second","one-DAY-excludingleap-SEC-;86400-SEC"
"no units","http://qudt.org/vocab/unit/UNITLESS",45,"nounits","UNITLESS"
"m","http://qudt.org/vocab/unit/M",45,"m","M"
"cubic feet per second","http://qudt.org/vocab/unit/FT3-PER-SEC",45,"cubicfootpersecond","FT3-PER-SEC"
"silty sand",NA,44,"siltysand","siltysand"
"mole percent (mol%)",NA,44,"molepercent(mol%)","MOL-PERCENT"
"gramspersquaremeterperday","http://qudt.org/vocab/unit/GM-PER-M2-DAY",44,"grampersquaremeterperday","GM-PER-M2-DAY"
"degrees latitude or longitude",NA,44,"degreelatitudeorlongitude","DEG-latitudeorlongitude"
"centimetercubed","http://qudt.org/vocab/unit/CentiM3",44,"centimetercubed","CentiM3"
"numberpercentimetersquared",NA,43,"numberpercentimeterquared","NUM-PER-CentiM2"
"milligrampermetersquaredperhour","http://qudt.org/vocab/unit/MilliGM-PER-M2-HR",43,"milligrampermeterquaredperhour","MilliGM-PER-M2-HR"
"kilogramperhectare","http://qudt.org/vocab/unit/KiloGM-PER-HA",43,"kilogramperhectare","KiloGM-PER-HA"
"nanomolespergrampersecond",NA,42,"nanomolepergrampersecond","NanoMOL-e-PER-GM-SEC"
"mg/l","http://qudt.org/vocab/unit/MilliGM-PER-L",42,"mgperliter","MilliGM-PER-L"
"m2/m2","http://qudt.org/vocab/unit/M2-PER-M2",42,"metersquaredpermetersquared","M2-PER-M2"
"gramsper100grams",NA,42,"gramper100gram","GM-PER-100-GM"
"cubiccentimeterspercubiccentimeters","http://qudt.org/vocab/unit/CentiM3-PER-CentiM3",42,"cubiccentimeterpercubiccentimeter","CentiM3-PER-CentiM3"
"centemeter","http://qudt.org/vocab/unit/CentiM",42,"centemeter","CentiM"
"milligrampermetersquared","http://qudt.org/vocab/unit/MilliGM-PER-M2",41,"milligrampermeterquared","MilliGM-PER-M2"
"kilometersquared",NA,41,"kilometerquared","KiloM2"
"equivalentsperhectare",NA,41,"equivalentsperhectare","equivalents-PER-HA"
"cubicmeterspercubicmeters","http://qudt.org/vocab/unit/M3-PER-M3",41,"cubicmeterpercubicmeter","M3-PER-M3"
"countofabundance",NA,41,"countofabundance","countof-NUM"
"a quantity or amount",NA,41,"aquantityoramount","aquantityoramount"
"millimeterperyear","http://qudt.org/vocab/unit/MilliM-PER-YR",40,"millimeterperyear","MilliM-PER-YR"
"milligramperkilogramperday",NA,40,"milligramperkilogramperday","MilliGM-PER-KiloGM-DAY"
"milesperhour","http://qudt.org/vocab/unit/MI-PER-HR",40,"mileperhour","MI-PER-HR"
"-99",NA,40,"-99","99"
"tonneperhectare","http://qudt.org/vocab/unit/TONNE-PER-HA",39,"tonneperhectare","TONNE-PER-HA"
"microgrampergramperhour",NA,39,"microgrampergramperhour","MicroGM-PER-GM-HR"
"megagramsperhectare",NA,39,"megagramperhectare","MegaGM-PER-HA"
"measure of hydrogen ion concentration",NA,39,"measureofhydrogenionconcentration","measureofhydrogenionconcentration"
"kilogramspersquaremeter","http://qudt.org/vocab/unit/KiloGM-PER-M2",39,"kilogrampersquaremeter","KiloGM-PER-M2"
"g/m2","http://qudt.org/vocab/unit/GM-PER-M2",39,"grampermetersquared","GM-PER-M2"
"a concentration unit used in oceanography. volume changes with depth, but mass does not. not sure what the unittype should be.",NA,39,"aconcentrationunitusedinoceanography.volumechangeswithdepth,butmassdoesnot.notsurewhattheunittypeshouldbe.","aconcentrationunitusedinoceanography-NA-volumechangeswithdepth,butmassdoesnot-NA-notsurewhattheunittypeshouldbe"
"tritiumunit",NA,38,"tritiumunit","tritiumunit"
"numberpermilliliter",NA,38,"numberpermilliliter","NUM-PER-MilliL"
"microomhn/cm",NA,38,"microomhnpercentimeter","MicroOHM-PER-CentiM"
"micromolesperkilogram","http://qudt.org/vocab/unit/MicroMOL-PER-KiloGM",38,"micromoleperkilogram","MicroMOL-PER-KiloGM"
"microm",NA,38,"microm","microm"
"metercubedperhectare","http://qudt.org/vocab/unit/M3-PER-HA",38,"metercubedperhectare","M3-PER-HA"
"kilogramspersquaremeter","http://qudt.org/vocab/unit/KiloGM-PER-M2",38,"kilogrampersquaremeter","KiloGM-PER-M2"
"kilogrampermeterpersecondsquared","http://qudt.org/vocab/unit/KiloGM-PER-M-SEC2",38,"kilogrampermeterpersecondquared","KiloGM-PER-M-SEC2"
"grams per square meter","http://qudt.org/vocab/unit/GM-PER-M2",38,"grampersquaremeter","GM-PER-M2"
"nt",NA,37,"nt","nt"
"milligramperkilogram","http://qudt.org/vocab/unit/MilliGM-PER-KiloGM",37,"milligramperkilogram","MilliGM-PER-KiloGM"
"micromolepermeterpersecondsquared",NA,37,"micromolepermeterpersecondquared","MicroMOL-PER-M-SEC2"
"microgramspergramperday",NA,37,"microgrampergramperday","MicroGM-PER-GM-DAY"
"kilograms per cubit meter","http://qudt.org/vocab/unit/KiloGM-PER-M3",37,"kilogrampercubitmeter","KiloGM-PER-M3"
"cubicfeetpersecond","http://qudt.org/vocab/unit/FT3-PER-SEC",37,"cubicfootpersecond","FT3-PER-SEC"
"# / kg drysoil",NA,37,"#perkilogramdrysoil","NUM-PER-KiloGM-drysoil"
"u.s. dollar","http://qudt.org/vocab/unit/USDollar",36,"u.s.dollar","USDollar"
"radian","http://qudt.org/vocab/unit/RAD",36,"radian","RAD"
"ohm","http://qudt.org/vocab/unit/OHM",36,"ohm","OHM"
"millimolspermetresquaredpersecond",NA,36,"millimolspermetresquaredpersecond","milli-MOL-PER-M2-SEC"
"milligrams per gram of oil (mg/g oil)",NA,36,"milligrampergramofoil(mgpergramoil)","MilliGM-PER-GM-ofoil"
"mgkg-1","http://qudt.org/vocab/unit/MilliGM-PER-KiloGM",36,"mgkg-1","MilliGM-PER-KiloGM"
"megajoulepermetersquared","http://qudt.org/vocab/unit/MegaJ-PER-M2",36,"megajoulepermeterquared","MegaJ-PER-M2"
"link",NA,36,"link","link"
"kilogramperhectareperyear",NA,36,"kilogramperhectareperyear","KiloGM-PER-HA-YR"
"psu","http://qudt.org/vocab/unit/PSU",35,"psu","PSU"
"np",NA,35,"np","np"
"molepermetersquaredperday","http://qudt.org/vocab/unit/MOL-PER-M2-DAY",35,"molepermeterquaredperday","MOL-PER-M2-DAY"
"millimeterperday","http://qudt.org/vocab/unit/MilliM-PER-DAY",35,"millimeterperday","MilliM-PER-DAY"
"milligrams per kilogram (mg/kg)","http://qudt.org/vocab/unit/MilliGM-PER-KiloGM",35,"milligramperkilogram(mgperkg)","MilliGM-PER-KiloGM"
"mg/l","http://qudt.org/vocab/unit/MilliGM-PER-L",35,"mgperliter","MilliGM-PER-L"
"hectopascal","http://qudt.org/vocab/unit/HectoPA",35,"hectopascal","HectoPA"
"datetime",NA,35,"datetime","datetime"
"cm3/cm2",NA,35,"centimetercubedpercentimetersquared","CentiM3-PER-CentiM2"
"wattspermetersquared","http://qudt.org/vocab/unit/W-PER-M2",34,"wattspermeterquared","W-PER-M2"
"unadjustedusdollar",NA,34,"unadjustedusdollar","unadjusted-USDollar"
"milligrampermetersquareperhour",NA,34,"milligrampermeterquareperhour","MilliGM-PER-M-quare-HR"
"micromolepermole","http://qudt.org/vocab/unit/MicroMOL-PER-MOL",34,"micromolepermole","MicroMOL-PER-MOL"
"kilometers","http://qudt.org/vocab/unit/KiloM",34,"kilometer","KiloM"
"gramspercubicmeter","http://qudt.org/vocab/unit/GM-PER-M3",34,"grampercubicmeter","GM-PER-M3"
"gramspercubicmeter","http://qudt.org/vocab/unit/GM-PER-M3",34,"grampercubicmeter","GM-PER-M3"
"cubic meters per kilogram","http://qudt.org/vocab/unit/M3-PER-KiloGM",34,"cubicmeterperkilogram","M3-PER-KiloGM"
"perday","http://qudt.org/vocab/unit/PER-DAY",33,"perday","PER-DAY"
"na",NA,33,"na","na"
"milliliterperliter","http://qudt.org/vocab/unit/MilliL-PER-L",33,"milliliterperliter","MilliL-PER-L"
"micromolespermetersquaredpersecond","http://qudt.org/vocab/unit/MicroMOL-PER-M2-SEC",33,"micromolepermeterquaredpersecond","MicroMOL-PER-M2-SEC"
"inverseangstrom",NA,33,"inverseangstrom","inverse-ANGSTROM"
"integer",NA,33,"integer","integer"
"density",NA,33,"density","density"
"clayey silt",NA,33,"clayeysilt","clayeysilt"
"biomass",NA,33,"biomass","biomass"
"basal area",NA,33,"basalarea","basalarea"
"abundance/m2","http://qudt.org/vocab/unit/NUM-PER-M2",33,"abundancepermetersquared","NUM-PER-M2"
"um","http://qudt.org/vocab/unit/MicroM",32,"um","MicroM"
"parts per million","http://qudt.org/vocab/unit/PPM",32,"partpermillion","PPM"
"parts per billion","http://qudt.org/vocab/unit/PPB",32,"partperbillion","PPB"
"par irradiance unit, seabird 911. 1ein = energy of 1 mole photons",NA,32,"parirradianceunit,seabird911.1ein=energyof1molephoton","parir-RAD-ceunit,seabird911-NA-1ein=energyof1-MOL-PHOT"
"concentration unit; sometimes used for pigments in natural waters",NA,32,"concentrationunit;sometimesusedforpigmentsinnaturalwaters","concentrationunit;sometimesusedforpigmentsinnaturalwaters"
"celcius","http://qudt.org/vocab/unit/DEG_C",32,"celcius","DEG_C"
"wattspersquaremetersquared",NA,31,"wattspersquaremeterquared","W-PER-M22"
"snailspermetersquared",NA,31,"snailspermeterquared","snails-PER-M2"
"sandy silt",NA,31,"sandysilt","sandysilt"
"phi size",NA,31,"phisize","phisize"
"permil is a shorthand way of saying parts per thousand parts. values must have the same dimensions.",NA,31,"permilisashorthandwayofsayingpartperthousandpart.valuesmusthavethesamedimensions.","PPTH-isashorthandwayofsaying-PPTH-part-NA-valuesmusthavethesamedimensions"
"numberpergram","http://qudt.org/vocab/unit/NUM-PER-GM",31,"numberpergram","NUM-PER-GM"
"molepermetersquaredpersecond","http://qudt.org/vocab/unit/MOL-PER-M2-SEC",31,"molepermeterquaredpersecond","MOL-PER-M2-SEC"
"minutes of a degree",NA,31,"minuteofadegree","MIN-ofa-DEG"
